iter	Passed	Remaining
428	1766	6468
429	1772	6470
430	1776	6466
431	1780	6462
432	1786	6463
433	1789	6458
434	1793	6453
435	1797	6448
436	1801	6443
437	1805	6438
438	1809	6432
439	1813	6429
440	1817	6425
441	1821	6419
442	1825	6414
443	1828	6409
444	1833	6405
445	1836	6400
446	1840	6395
447	1844	6390
448	1849	6387
449	1852	6382
450	1856	6377
451	1860	6373
452	1865	6370
453	1870	6368
454	1874	6364
455	1878	6361
456	1883	6358
457	1887	6354
458	1891	6350
459	1895	6346
460	1899	6342
461	1904	6339
462	1908	6335
463	1913	6332
464	1916	6327
465	1920	6323
466	1924	6318
467	1929	6315
468	1933	6311
469	1937	6306
470	1941	6303
471	1945	6298
472	1949	6294
473	1953	6288
474	1957	6284
475	1962	6282
476	1966	6279
477	1971	6276
478	1975	6271
479	1980	6270
480	1984	6265
481	1988	6262
482	1992	6258
483	1996	6253
484	2000	6248
485	2003	6242
486	2007	6236
487	2011	6232
488	2015	6228
489	2019	6223
490	2023	6217
491	2027	6213
492	2032	6211
493	2036	6208
494	2040	6203
495	2044	6199
496	2048	6195
497	2053	6193
498	2057	6189
499	2061	6184
500	2065	6181
501	2070	6177
502	2073	6171
503	2077	6166
504	2081	6162
505	2085	6157
506	2089	6153
507	2093	6149
508	2097	6145
509	2102	6141
510	2107	6140
511	2111	6137
512	2115	6132
513	2120	6131
514	2125	6129
515	2130	6126
516	2134	6122
517	2138	6119
518	2143	6115
519	2147	6111
520	2151	6106
521	2154	6101
522	2158	6095
523	2163	6093
524	2167	6089
525	2171	6085
526	2175	6081
527	2179	6077
528	2185	6078
529	2192	6079
530	2196	6076
531	2200	6071
532	2204	6066
533	2208	6063
534	2212	6057
535	2216	6054
536	2220	6049
537	2224	6044
538	2229	6041
539	2233	6039
540	2239	6040
541	2243	6034
542	2246	6029
543	2250	6023
544	2254	6018
545	2258	6013
546	2262	6008
547	2266	6004
548	2270	6001
549	2275	5999
550	2279	5994
551	2283	5989
552	2287	5985
553	2292	5983
554	2296	5978
555	2301	5976
556	2304	5971
557	2308	5965
558	2312	5960
559	2316	5956
560	2320	5951
561	2323	5945
562	2327	5940
563	2330	5934
564	2334	5929
565	2338	5923
566	2341	5918
567	2345	5912
568	2350	5911
569	2355	5910
570	2360	5907
571	2365	5905
572	2369	5900
573	2372	5895
574	2378	5893
575	2381	5888
576	2385	5883
577	2388	5877
578	2392	5872
579	2396	5867
580	2400	5862
581	2404	5859
582	2408	5854
583	2412	5850
584	2416	5846
585	2420	5841
586	2425	5837
587	2429	5833
588	2432	5827
589	2436	5822
590	2440	5817
591	2443	5812
592	2448	5809
593	2453	5806
594	2457	5802
595	2461	5798
596	2467	5798
597	2472	5796
598	2477	5795
599	2482	5791
600	2487	5789
601	2492	5787
602	2496	5783
603	2501	5781
604	2506	5780
605	2513	5780
606	2516	5775
607	2521	5773
608	2525	5768
609	2529	5763
610	2533	5759
611	2537	5755
612	2541	5750
613	2545	5746
614	2549	5741
615	2554	5739
616	2559	5736
617	2563	5732
618	2569	5731
619	2573	5727
620	2577	5722
621	2580	5717
622	2585	5713
623	2589	5709
624	2593	5705
625	2598	5703
626	2602	5699
627	2606	5694
628	2610	5690
629	2615	5687
630	2619	5682
631	2623	5678
632	2628	5675
633	2632	5671
634	2637	5668
635	2641	5664
636	2645	5659
637	2649	5656
638	2654	5653
639	2658	5648
640	2662	5644
641	2666	5641
642	2670	5636
643	2675	5632
